"","Preffered_Vcmax.9.comps"
"Wave_1053",30.0729456761647
"Wave_1054",30.510922424547
"Wave_1055",28.8793161622071
"Wave_1056",27.7861231187718
"Wave_1057",27.2015134354763
"Wave_1058",26.5788085155062
"Wave_1059",25.139397901428
"Wave_1060",25.173864097299
"Wave_1061",27.1938323530968
"Wave_1062",27.1138581154159
"Wave_1063",27.8187562829668
"Wave_1064",26.5958993228125
"Wave_1065",26.8274952610476
"Wave_1066",29.8298749897842
"Wave_1067",29.8386936309684
"Wave_1068",28.1796245223873
"Wave_1069",28.0640256713559
"Wave_1070",25.4401643598925
"Wave_1071",24.2732880613374
"Wave_1072",27.1323846681814
"Wave_1073",27.7540632989509
"Wave_1074",26.4760408429309
"Wave_1075",26.5881142728949
"Wave_1076",27.2582947009208
"Wave_1077",27.7369396204179
"Wave_1078",28.3317938119236
"Wave_1079",29.8408081132173
"Wave_1080",29.3390274485618
"Wave_1081",26.3895422746359
"Wave_1082",26.2405336319712
"Wave_1083",25.8782384192497
"Wave_1084",24.4951173751471
"Wave_1085",25.480806976537
"Wave_1086",25.4389118961021
"Wave_1087",22.9645169390167
"Wave_1088",22.2558588743822
"Wave_1089",23.2526362127814
"Wave_1090",22.7402022950473
"Wave_1091",23.0123140400191
"Wave_1092",20.4726595609029
"Wave_1093",19.060391068764
"Wave_1094",19.2536307545866
"Wave_1095",18.9164498803989
"Wave_1096",18.6081609863824
"Wave_1097",18.8489437587918
"Wave_1098",19.3170279278344
"Wave_1099",19.9105191337084
"Wave_1100",23.236026128285
"Wave_1101",22.5095692559064
"Wave_1102",18.4121579186486
"Wave_1103",16.625890818289
"Wave_1104",13.6438073572786
"Wave_1105",12.0503937730178
"Wave_1106",12.2411883511774
"Wave_1107",12.5613481568982
"Wave_1108",13.0726790726605
"Wave_1109",12.1809441234659
"Wave_1110",9.67196360098044
"Wave_1111",7.84606984066832
"Wave_1112",7.20760146542628
"Wave_1113",6.53675200476863
"Wave_1114",5.72071438891741
"Wave_1115",6.3221725486809
"Wave_1116",5.37994410168058
"Wave_1117",3.51114758740835
"Wave_1118",1.6434090847462
"Wave_1119",-0.712889781525248
"Wave_1120",-1.77538732517229
"Wave_1121",-2.73681853332694
"Wave_1122",-3.53808381639284
"Wave_1123",-2.53420276817896
"Wave_1124",-2.42490597815722
"Wave_1125",-3.56193040187388
"Wave_1126",-5.67231819933182
"Wave_1127",-8.20156490286453
"Wave_1128",-9.3003231373184
"Wave_1129",-10.3160255723943
"Wave_1130",-11.7186842294454
"Wave_1131",-11.5100715591565
"Wave_1132",-11.0043854444274
"Wave_1133",-12.3228510976849
"Wave_1134",-12.1746200841491
"Wave_1135",-12.1183737387005
"Wave_1136",-12.9269381179628
"Wave_1137",-12.9819616051247
"Wave_1138",-11.2115297061428
"Wave_1139",-11.4851297643345
"Wave_1140",-12.6270146216008
"Wave_1141",-12.3121674090968
"Wave_1142",-12.6123694941984
"Wave_1143",-12.3480229723195
"Wave_1144",-11.6751046207406
"Wave_1145",-11.2141449499757
"Wave_1146",-9.61062163859392
"Wave_1147",-8.3593862163609
"Wave_1148",-7.79980839674141
"Wave_1149",-6.85509490518646
"Wave_1150",-6.33776478325071
"Wave_1151",-7.33238855440578
"Wave_1152",-5.96352987661352
"Wave_1153",-3.03663723173328
"Wave_1154",-2.40824332640753
"Wave_1155",-2.08475180110647
"Wave_1156",-2.3068497891067
"Wave_1157",-2.77024287108364
"Wave_1158",-2.20881693604652
"Wave_1159",-1.00065480326802
"Wave_1160",-0.646790347631022
"Wave_1161",-0.764151421140424
"Wave_1162",-1.10382268107605
"Wave_1163",-1.07623534662269
"Wave_1164",-0.0101038827521817
"Wave_1165",0.147820913968047
"Wave_1166",-1.52283873299664
"Wave_1167",-1.84751010780069
"Wave_1168",-1.04486570712374
"Wave_1169",-1.20071437238371
"Wave_1170",-1.63154308326561
"Wave_1171",-1.74772336706869
"Wave_1172",-2.27766808586741
"Wave_1173",-3.02387383327087
"Wave_1174",-3.61701520712311
"Wave_1175",-4.10197064662179
"Wave_1176",-4.9408301590999
"Wave_1177",-5.51244420409232
"Wave_1178",-5.54821987688896
"Wave_1179",-5.4822749610326
"Wave_1180",-5.37759986871037
"Wave_1181",-5.33086766424071
"Wave_1182",-5.57317660897323
"Wave_1183",-6.17906175459753
"Wave_1184",-6.36618458533349
"Wave_1185",-6.60519597850011
"Wave_1186",-7.15424423114126
"Wave_1187",-6.93583458197259
"Wave_1188",-6.929037945897
"Wave_1189",-6.70939502609547
"Wave_1190",-7.04250395466553
"Wave_1191",-7.13777011612442
"Wave_1192",-6.75476921269767
"Wave_1193",-6.42949034309305
"Wave_1194",-6.4980158962071
"Wave_1195",-7.65674822050945
"Wave_1196",-7.11948399705618
"Wave_1197",-4.44528796924708
"Wave_1198",-3.96898422869116
"Wave_1199",-4.93770013473453
"Wave_1200",-4.80900009688078
"Wave_1201",-4.3405192429929
"Wave_1202",-4.57257510540203
"Wave_1203",-4.18778181446461
"Wave_1204",-2.87034166102918
"Wave_1205",-2.61942585128306
"Wave_1206",-4.67971391309693
"Wave_1207",-4.95230858408015
"Wave_1208",-3.87344270342647
"Wave_1209",-3.92552527906501
"Wave_1210",-4.48287129977887
"Wave_1211",-3.52823084179776
"Wave_1212",-3.21743755062566
"Wave_1213",-4.37438669439322
"Wave_1214",-4.59207370359235
"Wave_1215",-4.27018688831937
"Wave_1216",-4.70499555536261
"Wave_1217",-4.81525625288957
"Wave_1218",-5.73966205287607
"Wave_1219",-7.77732861960218
"Wave_1220",-9.11196924958633
"Wave_1221",-9.4584303688792
"Wave_1222",-9.67833864090525
"Wave_1223",-10.1581122509129
"Wave_1224",-9.87699563636416
"Wave_1225",-10.3683445045714
"Wave_1226",-11.1200349414536
"Wave_1227",-12.1729652565357
"Wave_1228",-12.6094657365402
"Wave_1229",-13.5127158633501
"Wave_1230",-14.5277145625727
"Wave_1231",-15.4727788657785
"Wave_1232",-16.6111455953446
"Wave_1233",-17.5850200157365
"Wave_1234",-18.3742151449168
